Date,Description,Amount
04-12-2025,Stripe Transfer - Subscription Revenue,1747.1
05-12-2025,Stripe Transfer - Subscription Revenue,1263.04
05-12-2025,WeWork Day Pass,-104.01
06-12-2025,Stripe Transfer - Subscription Revenue,1629.76
06-12-2025,Stripe Transfer - Subscription Revenue,943.49
06-12-2025,Stripe Transfer - Subscription Revenue,1737.22
06-12-2025,Stripe Transfer - Subscription Revenue,2212.33
07-12-2025,Meta Ads Campaign,-2350.05
08-12-2025,Stripe Transfer - Subscription Revenue,1594.89
08-12-2025,Stripe Transfer - Subscription Revenue,1424.48
09-12-2025,Stripe Transfer - Subscription Revenue,1267.82
10-12-2025,Stripe Transfer - Subscription Revenue,1991.56
10-12-2025,Stripe Transfer - Subscription Revenue,1695.86
10-12-2025,Linear App,-48
12-12-2025,Google Ads Campaign,-3318.69
13-12-2025,Stripe Transfer - Subscription Revenue,1228.54
13-12-2025,Stripe Transfer - Client Payment,14425.93
14-12-2025,Stripe Transfer - Subscription Revenue,1163.56
15-12-2025,Stripe Transfer - Subscription Revenue,1185.9
15-12-2025,Gusto Payroll - Mid-month,-17000
15-12-2025,Vercel Pro Plan,-40
16-12-2025,Stripe Transfer - Subscription Revenue,1384.32
16-12-2025,GitHub Enterprise,-44
18-12-2025,Notion Team Plan,-96
20-12-2025,Stripe Transfer - Subscription Revenue,1704.19
20-12-2025,Office Supplies - Amazon,-239.57
22-12-2025,Stripe Transfer - Subscription Revenue,1225.35
22-12-2025,Slack Business+,-150
22-12-2025,Starbucks,-153.53
23-12-2025,Stripe Transfer - Subscription Revenue,2263.71
23-12-2025,Stripe Transfer - Subscription Revenue,1334.51
23-12-2025,Stripe Transfer - Client Payment,13030.68
25-12-2025,Stripe Transfer - Subscription Revenue,2111.49
27-12-2025,Stripe Transfer - Client Payment,11581.01
28-12-2025,Stripe Transfer - Subscription Revenue,2262.71
28-12-2025,Gusto Payroll - Month End,-17000
29-12-2025,Stripe Transfer - Subscription Revenue,2221.94
29-12-2025,Office Supplies - Amazon,-119.66
29-12-2025,WeWork Day Pass,-94.73
30-12-2025,Stripe Transfer - Subscription Revenue,1175.76
